"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"57",656793,"Nelson, Nick","57","100.0","0.200","0.000","0.333","0.200","0.460","0.449","0.138","1","5","96.4","18.3","1993","93.2","93.33","3","23","34","0.1","6.36","110","150","116","145","290","318","285"
"57",607391,"Mazza, Chris","57","100.0","0.083","0.000","0.143","0.083","0.121","0.171","0.090","1","12","79.6","22.0","2097","85.1","86.37","9","32","25","1.3","6.95","110","160","118","154","289","325","303"
"57",543901,"Weber, Ryan","57","100.0","0.111","0.333","0.000","0.444","0.343","0.510","0.363","1","9","93.5","-0.9","2031","85.6","84.03","3","19","38","-1.6","5.34","113","157","132","149","293","324","295"
"57",547176,"Camarena, Daniel","57","100.0","0.286","0.286","0.273","0.571","0.380","0.354","0.280","4","14","88.5","20.3","1818","88.3","88.15","4","26","31","-0.1","6.19","118","157","120","149","301","320","314"
"55",461325,"Clippard, Tyler","55","100.0","0.231","0.000","0.333","0.231","0.270","0.350","0.242","3","13","77.5","17.1","1932","82.5","82.02","7","28","27","-0.5","6.13","106","149","113","150","297","322","297"
"55",623364,"Wieck, Brad","55","100.0","0.273","0.091","0.600","0.364","0.337","0.252","0.141","3","11","93.5","23.6","2276","90.6","92.18","7","26","29","1.6","7.19","105","152","118","155","297","317","295"
"55",595411,"Sherriff, Ryan","55","100.0","0.100","0.000","0.143","0.100","0.227","0.245","0.116","1","10","75.5","1.1","2249","87.9","87.62","3","20","35","-0.3","6.52","112","155","115","152","300","317","290"
"55",665854,"Oviedo, Luis","55","100.0","0.556","0.444","0.667","1.000","0.668","0.574","0.362","5","9","90.0","4.9","2311","85.8","86.75","9","17","38","0.9","6.85","105","149","114","148","300","317","286"
"54",622075,"Almonte, Yency","54","100.0","0.308","0.231","0.333","0.538","0.381","0.358","0.268","4","13","84.5","18.1","2249","89.0","90.05","6","24","30","1.0","6.82","122","151","122","148","301","331","305"
"54",477132,"Kershaw, Clayton","54","100.0","0.214","0.214","0.200","0.429","0.297","0.327","0.244","3","14","91.0","12.1","2483","87.1","87.32","8","26","28","0.2","6.40","110","158","110","151","304","311","291"
"53",451584,"Davis, Wade","53","100.0","0.000","0.000","0.000","0.000","0.063","0.254","0.216","0","10","94.0","16.3","2448","88.6","88.50","6","28","25","-0.1","6.18","108","165","121","143","298","325","293"
