"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"410",592346,"González, Chi Chi","410","100.0","0.340","0.282","0.358","0.621","0.420","0.411","0.332","35","103","89.6","8.5","2278","89.2","88.32","34","202","208","-0.9","5.84","114","152","119","147","296","332","305"
"410",676840,"Peacock, Matt","410","100.0","0.390","0.240","0.424","0.630","0.461","0.393","0.324","39","100","90.6","1.9","2210","91.1","89.62","34","181","229","-1.5","5.35","110","152","116","150","300","325","298"
"410",527048,"Pérez, Martín","410","100.0","0.324","0.210","0.337","0.533","0.389","0.394","0.322","34","105","88.2","10.3","2013","88.7","88.00","30","195","215","-0.7","5.78","105","153","116","147","294","332","296"
"409",608328,"De Jong, Chase","409","100.0","0.316","0.296","0.352","0.612","0.411","0.352","0.261","31","98","89.9","14.6","2468","87.0","86.39","44","198","211","-0.6","5.76","111","153","119","148","300","321","294"
"403",607536,"Freeland, Kyle","403","100.0","0.350","0.320","0.361","0.670","0.443","0.384","0.290","35","100","87.4","6.0","2235","87.4","88.43","37","191","212","1.0","6.60","108","152","119","146","299","331","302"
"403",641540,"Dunning, Dane","403","100.0","0.333","0.151","0.426","0.484","0.379","0.320","0.261","31","93","89.3","6.6","2061","85.6","85.90","54","200","203","0.3","6.41","111","154","122","146","307","334","297"
"397",608344,"Irvin, Cole","397","100.0","0.265","0.094","0.315","0.359","0.295","0.325","0.262","31","117","88.2","14.6","1860","88.5","88.48","47","214","183","0.0","6.14","109","150","118","150","306","331","303"
"397",621244,"Berríos, José","397","100.0","0.219","0.125","0.269","0.344","0.267","0.264","0.208","21","96","88.8","12.5","2104","89.5","89.59","38","181","216","0.1","6.38","110","164","119","150","305","336","298"
"397",670912,"Oviedo, Johan","397","100.0","0.274","0.137","0.315","0.411","0.330","0.364","0.301","26","95","88.0","6.2","2283","89.6","90.98","45","195","202","1.4","7.03","116","150","113","147","294","311","297"
"394",448179,"Hill, Rich","394","100.0","0.250","0.261","0.258","0.511","0.360","0.365","0.269","23","92","87.3","16.8","2321","80.0","79.41","27","169","225","-0.6","6.19","103","153","118","149","302","324","293"
"388",669203,"Burnes, Corbin","388","100.0","0.270","0.079","0.429","0.348","0.297","0.233","0.197","24","89","84.4","11.7","2621","91.7","92.29","62","176","212","0.6","6.33","107","153","112","147","301","325","297"
"386",660271,"Ohtani, Shohei","386","100.0","0.247","0.169","0.352","0.416","0.326","0.314","0.224","22","89","87.5","6.5","2137","89.6","90.11","60","192","194","0.5","6.76","115","155","116","154","303","326","300"
"385",663460,"Bubic, Kris","385","100.0","0.345","0.345","0.368","0.690","0.463","0.446","0.327","29","84","91.6","8.1","1883","84.5","85.14","35","174","211","0.6","6.63","106","156","121","147","307","322","305"
"381",664353,"Urquidy, José","381","100.0","0.208","0.218","0.211","0.426","0.276","0.314","0.252","21","101","87.8","20.0","2260","87.9","87.45","63","224","157","-0.4","6.02","115","159","121","152","296","328","293"
"374",594798,"deGrom, Jacob","374","100.0","0.101","0.034","0.180","0.135","0.131","0.163","0.115","9","89","86.5","17.8","2466","95.5","96.57","84","204","170","1.1","6.85","120","152","111","152","298","325","302"
"374",456501,"Cueto, Johnny","374","100.0","0.289","0.256","0.299","0.544","0.374","0.355","0.270","26","90","85.7","8.9","2043","87.9","87.22","42","180","194","-0.7","5.75","111","155","112","150","296","322","293"
"372",570632,"Ureña, José","372","100.0","0.360","0.384","0.348","0.744","0.490","0.390","0.287","31","86","92.8","14.2","1984","91.0","91.19","32","182","190","0.2","6.39","109","152","115","147","302","324","295"
"371",543606,"Odorizzi, Jake","371","100.0","0.149","0.108","0.180","0.257","0.207","0.308","0.215","11","74","92.1","12.7","2014","90.1","89.94","51","196","175","-0.2","6.14","115","156","120","153","292","329","296"
"371",663776,"Sandoval, Patrick","371","100.0","0.205","0.157","0.255","0.361","0.271","0.249","0.184","17","83","82.5","3.8","2096","88.0","87.73","71","178","193","-0.3","6.12","113","156","116","152","304","325","298"
"368",650644,"Civale, Aaron","368","100.0","0.233","0.198","0.267","0.430","0.305","0.316","0.254","20","86","85.2","11.8","2391","87.0","86.49","40","177","191","-0.5","5.79","116","153","117","151","287","322","296"
"365",592791,"Taillon, Jameson","365","100.0","0.322","0.200","0.362","0.522","0.382","0.367","0.295","29","90","88.7","17.2","2448","90.1","90.76","49","201","164","0.7","6.68","109","153","116","148","302","329","285"
"362",642092,"Smith, Riley","362","100.0","0.330","0.287","0.333","0.617","0.408","0.352","0.288","31","94","88.0","9.9","2158","88.7","88.84","22","172","190","0.1","6.36","110","153","116","150","303","326","298"
"362",547942,"Kim, Kwang Hyun","362","100.0","0.222","0.123","0.246","0.346","0.300","0.291","0.212","18","81","85.3","8.2","2066","83.9","84.79","26","147","215","0.9","6.72","112","151","118","147","299","309","294"
"353",659275,"Lamet, Dinelson","353","100.0","0.272","0.136","0.345","0.407","0.318","0.289","0.222","22","81","84.8","16.0","2442","90.8","90.38","54","188","165","-0.4","5.93","113","155","127","145","297","325","319"
"352",615698,"Quantrill, Cal","352","100.0","0.306","0.176","0.343","0.482","0.361","0.376","0.301","26","85","87.8","12.8","2073","91.3","91.96","26","177","175","0.7","6.59","114","154","114","149","291","317","291"
"351",579328,"Kikuchi, Yusei","351","100.0","0.181","0.133","0.222","0.313","0.260","0.278","0.201","15","83","89.9","3.6","2253","91.1","92.03","46","162","189","0.9","6.70","109","153","112","147","297","321","285"
"346",605483,"Snell, Blake","346","100.0","0.257","0.176","0.327","0.432","0.334","0.384","0.290","19","74","89.8","8.5","2305","90.9","91.72","40","154","192","0.8","6.82","111","151","128","145","301","326","318"
"345",641927,"Ober, Bailey","345","100.0","0.288","0.238","0.333","0.525","0.357","0.315","0.259","23","80","87.6","22.3","2120","87.3","89.21","30","165","180","1.9","7.33","107","160","116","149","298","329","294"
"344",650633,"King, Michael","344","100.0","0.279","0.174","0.318","0.453","0.346","0.354","0.264","24","86","91.0","6.4","2348","90.5","90.23","32","157","187","-0.3","6.17","111","157","118","149","300","326","287"
"343",502171,"Cobb, Alex","343","100.0","0.247","0.130","0.309","0.377","0.296","0.314","0.263","19","77","87.6","-0.6","1925","89.1","88.15","41","144","198","-1.0","5.82","117","159","113","151","298","323","302"
"337",663978,"Paddack, Chris","337","100.0","0.329","0.127","0.490","0.456","0.353","0.307","0.263","26","79","88.7","2.3","2085","90.8","91.20","55","180","157","0.4","6.76","112","154","129","146","294","325","317"
"337",621107,"Eflin, Zach","337","100.0","0.309","0.213","0.352","0.521","0.368","0.308","0.252","29","94","86.8","8.5","2049","89.5","90.36","41","174","163","0.9","6.75","105","152","112","144","296","322","295"
"331",640444,"Crowe, Wil","331","100.0","0.286","0.299","0.286","0.584","0.393","0.359","0.266","22","77","90.8","8.1","2372","89.4","89.73","31","142","189","0.3","6.38","109","151","118","148","301","319","289"
