"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Willi Castro","DET","60","229","6","27","25","3","5.7%","25.3%",".144",".267",".216",".276",".361",".277","","73","1.1","-6.3","-0.7","0.1","17338"
"Yermin Mercedes","CHW","64","249","7","22","34","0","7.2%","18.5%",".135",".305",".266",".321",".402",".313","","98","-1.1","-1.6","-6.3","0.1","17423"
"Eddie Rosario","CLE","66","266","5","24","39","7","6.4%","15.4%",".119",".285",".254",".303",".373",".294","","85","0.8","-4.2","-4.3","0.1","12155"
"Ryan Mountcastle","BAL","65","254","12","30","40","3","3.1%","30.7%",".207",".338",".266",".291",".473",".322","","102","-0.5","0.1","-8.6","0.0","18373"
"Josh Naylor","CLE","64","232","5","26","18","1","5.6%","18.5%",".130",".292",".250",".299",".380",".294","","85","-1.3","-5.7","-3.4","-0.1","18839"
"Lourdes Gurriel Jr.","TOR","64","252","7","25","23","1","2.8%","21.4%",".142",".297",".255",".275",".397",".286","","76","-0.6","-8.1","-2.0","-0.2","19238"
"Dominic Smith","NYM","62","239","6","20","24","2","7.9%","23.4%",".123",".303",".245",".322",".368",".302","","93","-2.0","-4.0","-6.6","-0.3","15653"
"Ian Happ","CHC","60","224","8","22","18","1","12.9%","29.0%",".153",".231",".184",".302",".337",".288","","77","-0.5","-7.2","-3.5","-0.3","17919"
"Eric Hosmer","SDP","66","263","6","22","35","4","7.2%","14.4%",".108",".273",".249",".308",".357",".291","","84","-2.3","-7.6","-4.4","-0.3","3516"
"Starlin Castro","WSN","67","265","2","15","24","0","6.8%","20.4%",".078",".298",".242",".291",".320",".269","","64","-1.3","-13.3","1.2","-0.3","4579"
"Maikel Franco","BAL","68","273","8","21","36","0","5.1%","16.1%",".156",".223",".210",".253",".366",".266","","64","-0.8","-12.7","-0.4","-0.4","12179"
"Kevin Newman","PIT","65","248","2","22","12","2","5.6%","6.5%",".056",".208",".202",".246",".258",".223","","37","2.3","-17.6","3.7","-0.6","17696"
"Jurickson Profar","SDP","67","242","1","31","17","9","12.4%","16.5%",".058",".257",".214",".317",".272",".270","","70","0.3","-8.9","-5.9","-0.7","10815"
"Alec Bohm","PHI","68","264","4","28","31","3","5.3%","26.5%",".082",".303",".233",".273",".314",".257","","57","-1.4","-15.9","-0.3","-0.7","21618"
"Jackie Bradley Jr.","MIL","64","233","5","21","18","3","7.7%","31.8%",".116",".208",".155",".240",".271",".231","","40","0.8","-17.1","1.9","-0.7","12984"
"Gregory Polanco","PIT","58","218","7","20","21","7","9.2%","30.7%",".150",".258",".202",".271",".352",".268","","66","1.1","-8.3","-6.6","-0.8","12907"
"Eugenio Suarez","CIN","68","286","14","35","39","0","7.3%","29.7%",".194",".186",".171",".245",".364",".264","","58","-1.8","-17.2","-2.4","-1.0","12552"
"Jorge Soler","KCR","64","253","6","21","28","0","10.3%","28.9%",".146",".241",".183",".283",".329",".273","","69","-1.7","-11.5","-9.5","-1.2","14221"
