"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"36",595345,"Okert, Steven","36","100.0","0.167","0.000","0.200","0.167","0.229","0.313","0.245","1","6","76.6","34.6","2501","84.0","84.01","5","19","17","0.0","6.33","110","151","118","148","296","317","292"
"36",660813,"Graterol, Brusdar","36","100.0","0.429","0.143","0.500","0.571","0.487","0.399","0.323","3","7","92.1","2.5","2251","94.6","93.28","2","15","21","-1.3","5.56","111","150","116","151","305","318","291"
"36",656981,"Solomon, Peter","36","100.0","0.143","0.000","0.200","0.143","0.196","0.162","0.090","1","7","79.0","24.6","2206","88.3","87.95","5","16","20","-0.4","6.12","106","148","125","151","288","322","294"
"35",593619,"Tapia, Domingo","35","100.0","0.400","0.000","0.444","0.400","0.383","0.441","0.420","4","10","99.6","4.9","2220","97.2","96.41","5","20","15","-0.8","5.95","117","154","127","150","303","325","299"
"32",606213,"Mercedes, Yermín","32","100.0","0.600","0.200","0.600","0.800","0.626","0.724","0.717","3","5","96.0","19.0","1948","76.7","74.93","1","10","22","-1.8","4.69","122","146","125","151","277","326","305"
"31",553902,"Astudillo, Willians","31","100.0","0.100","0.300","0.000","0.400","0.245","0.404","0.284","1","10","86.5","12.8","1276","50.4","47.23","1","11","20","-3.2","4.62","109","157","125","148","306","326","306"
"30",605155,"Brewer, Colten","30","100.0","0.667","0.000","0.800","0.667","0.621","0.470","0.351","4","6","88.1","-7.6","2428","89.7","89.31","2","10","20","-0.4","6.16","108","155","121","149","297","341","286"
"29",667373,"Rondón, Angel","29","100.0","0.167","0.000","0.200","0.167","0.224","0.293","0.225","1","6","85.3","29.2","1996","87.1","88.59","1","14","15","1.5","7.10","104","151","130","148","297","315","310"
"28",621078,"Lail, Brady","28","100.0","0.400","0.400","0.375","0.800","0.501","0.284","0.187","4","10","82.9","24.3","2496","88.1","87.57","4","15","13","-0.5","5.90","112","151","112","148","305","322","298"
"28",444482,"Peralta, David","28","100.0","0.500","0.500","0.500","1.000","0.636","0.607","0.457","4","8","96.7","13.7","1625","64.0","62.77","2","14","14","-1.2","5.27","119","153","123","154","316","334","301"
"27",519299,"Sogard, Eric","27","100.0","0.250","0.000","0.250","0.250","0.276","0.298","0.237","2","8","89.2","37.5","1646","65.8","63.77","2","14","13","-2.0","4.38","114","154","125","150","311","326","307"
"27",656354,"Davis, Austin","27","100.0","0.000","0.000","0.000","0.000","0.099","0.147","0.062","0","6","66.0","45.0","2277","87.4","87.09","2","12","15","-0.3","6.05","102","153","118","148","307","323","296"
"26",572761,"Carpenter, Matt","26","100.0","0.400","0.000","0.400","0.400","0.413","0.557","0.547","2","5","83.7","28.2","1667","60.8","59.39","0","8","18","-1.4","5.12","121","163","130","151","294","316","297"
