"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"56",670167,"Schreiber, John","56","100.0","0.333","0.167","0.571","0.500","0.379","0.310","0.298","4","12","88.1","17.4","2256","88.1","88.79","6","25","31","0.7","6.66","110","151","125","149","280","316","294"
"56",669674,"Long, Sam","56","100.0","0.286","0.429","0.143","0.714","0.454","0.481","0.357","2","7","93.1","10.5","2135","83.4","82.85","5","27","29","-0.6","5.86","109","148","120","149","295","314","298"
"55",681810,"Warren, Austin","55","100.0","0.286","0.143","0.333","0.429","0.329","0.365","0.306","4","14","89.6","-11.3","2261","91.5","91.46","6","24","31","0.0","6.36","108","152","121","146","308","325","294"
"54",605276,"Hess, David","54","100.0","0.571","0.643","0.556","1.214","0.740","0.746","0.541","8","14","96.1","18.0","2218","88.0","87.29","9","33","21","-0.7","5.72","104","158","120","150","284","328","303"
"54",570488,"Valdez, Phillips","54","100.0","0.357","0.071","0.357","0.429","0.363","0.450","0.387","5","14","89.8","15.9","2147","90.2","91.44","6","27","27","1.2","6.98","109","142","109","140","277","312","295"
"52",664045,"Eshelman, Thomas","52","100.0","0.154","0.077","0.222","0.231","0.163","0.165","0.151","2","13","79.7","10.6","1786","82.2","82.22","4","24","28","0.0","6.20","112","153","118","151","292","327","287"
"52",642770,"Guerra, Javy","52","100.0","0.250","0.083","0.333","0.333","0.284","0.266","0.205","3","12","91.9","15.8","2090","97.5","96.24","4","27","25","-1.3","5.61","108","153","127","146","293","320","317"
"51",605154,"Brebbia, John","51","100.0","0.333","0.333","0.429","0.667","0.438","0.312","0.287","4","12","95.5","16.0","2402","88.1","89.33","7","26","25","1.2","6.83","105","144","109","144","310","329","296"
"51",665896,"Marte, Jose","51","100.0","0.375","0.500","0.333","0.875","0.564","0.499","0.308","3","8","85.3","6.3","2355","91.7","92.58","1","14","37","0.9","6.78","113","152","122","147","306","325","297"
"51",664141,"Brubaker, JT","51","100.0","0.333","0.167","0.571","0.500","0.379","0.228","0.192","4","12","83.2","22.4","2401","90.2","89.69","7","21","30","-0.5","5.98","110","148","117","148","289","326","300"
"49",571948,"Milner, Hoby","49","100.0","0.385","0.923","0.200","1.308","0.688","0.568","0.388","5","13","95.7","23.0","1864","83.6","83.69","6","24","25","0.1","6.44","111","154","121","147","307","321","300"
