"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"84",641771,"Kuhl, Chad","84","100.0","0.278","0.000","0.385","0.278","0.275","0.305","0.278","5","18","88.4","26.4","2293","89.3","90.17","11","39","45","0.9","6.73","110","149","116","148","307","324","295"
"84",669912,"Snead, Kirby","84","100.0","0.238","0.095","0.294","0.333","0.301","0.401","0.341","5","21","89.5","13.9","2481","86.7","86.21","8","37","47","-0.5","6.09","107","150","119","147","306","315","294"
"84",656641,"Latz, Jake","84","100.0","0.263","0.474","0.167","0.737","0.409","0.291","0.211","5","19","89.1","23.5","2044","86.3","87.20","9","44","40","0.9","6.65","115","153","121","148","297","316","291"
"83",664854,"Helsley, Ryan","83","100.0","0.176","0.176","0.250","0.353","0.292","0.443","0.326","3","17","95.6","11.9","2527","94.1","94.53","17","37","46","0.4","6.43","116","156","120","149","301","321","299"
"83",641871,"Middleton, Keynan","83","100.0","0.353","0.000","0.429","0.353","0.367","0.339","0.277","6","17","87.8","17.7","2280","91.9","92.27","9","40","43","0.4","6.61","113","150","117","147","296","325","291"
"83",571656,"Farmer, Buck","83","100.0","0.267","0.067","0.333","0.333","0.350","0.381","0.308","4","15","92.8","0.6","2191","88.5","88.11","12","40","43","-0.4","5.99","105","157","124","149","298","322","290"
"83",649144,"Wells, Alexander","83","100.0","0.500","0.200","0.588","0.700","0.522","0.455","0.417","10","20","92.7","14.8","2073","83.8","82.56","4","35","48","-1.2","5.63","112","156","119","147","300","323","284"
"82",668820,"Kranick, Max","82","100.0","0.294","0.294","0.333","0.588","0.416","0.263","0.150","5","17","85.6","38.6","2093","88.7","89.30","13","41","41","0.6","6.59","116","155","118","150","296","324","282"
"82",623465,"Phillips, Evan","82","100.0","0.273","0.182","0.278","0.455","0.307","0.382","0.355","6","22","95.4","7.6","2116","91.1","91.48","10","48","34","0.4","6.45","114","155","118","150","298","319","296"
"82",656638,"Lange, Alex","82","100.0","0.125","0.000","0.167","0.125","0.228","0.340","0.170","2","16","95.5","24.5","2056","91.4","91.58","14","36","46","0.2","6.47","108","159","117","150","298","329","296"
"81",669935,"Alexy, A.J.","81","100.0","0.067","0.067","0.091","0.133","0.184","0.220","0.099","1","15","77.5","36.0","2130","89.3","89.90","11","36","45","0.6","6.65","114","160","129","146","310","332","305"
"80",598287,"Ramirez, Noé","80","100.0","0.267","0.200","0.273","0.467","0.405","0.451","0.292","4","15","88.4","17.9","2263","82.9","82.98","11","37","43","0.1","6.14","108","150","111","150","292","324","293"
"80",593833,"Suero, Wander","80","100.0","0.533","0.600","0.600","1.133","0.692","0.525","0.390","8","15","85.4","19.4","2373","88.7","89.07","9","36","44","0.4","6.42","112","148","115","143","302","318","294"
"79",607457,"Barraclough, Kyle","79","100.0","0.286","0.429","0.250","0.714","0.463","0.308","0.164","4","14","86.1","27.9","2339","86.1","86.22","7","33","46","0.1","6.42","104","153","126","149","294","332","295"
"78",605538,"Wisler, Matt","78","100.0","0.278","0.111","0.385","0.389","0.269","0.249","0.256","5","18","83.7","23.8","2483","81.1","78.30","7","33","45","-2.8","5.98","107","164","115","151","299","326","296"
"78",647315,"Pop, Zach","78","100.0","0.167","0.000","0.214","0.167","0.177","0.228","0.203","3","18","75.4","4.3","2215","93.5","93.21","7","44","34","-0.3","6.20","110","150","117","151","302","327","298"
"78",596001,"Junis, Jakob","78","100.0","0.222","0.167","0.273","0.389","0.281","0.207","0.170","4","18","85.1","17.7","2249","84.9","84.16","7","29","49","-0.7","5.57","108","161","115","148","302","323","295"
"77",667498,"Dugger, Robert","77","100.0","0.438","0.313","0.412","0.750","0.490","0.456","0.407","7","16","94.9","21.5","2090","85.0","84.55","5","36","41","-0.5","6.05","117","157","124","149","281","337","294"
"77",605138,"Benjamin, Wes","77","100.0","0.176","0.176","0.154","0.353","0.248","0.377","0.299","3","17","95.0","18.0","2100","86.7","86.21","8","41","36","-0.5","5.90","109","153","123","145","307","325","293"
"76",605441,"Ríos, Yacksel","76","100.0","0.211","0.263","0.214","0.474","0.268","0.342","0.240","4","19","93.5","11.5","1851","93.1","92.83","11","40","36","-0.3","6.14","112","154","129","151","289","326","301"
