"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"206",642121,"Sulser, Cole","206","100.0","0.163","0.163","0.227","0.326","0.272","0.314","0.203","7","43","89.3","17.1","2134","89.0","89.67","32","99","107","0.7","6.73","110","153","115","149","301","322","298"
"204",656420,"Feyereisen, J.P.","204","100.0","0.225","0.250","0.250","0.475","0.336","0.315","0.229","9","40","81.5","12.9","2463","90.0","89.35","41","96","108","-0.7","5.95","107","151","112","147","296","321","295"
"204",607229,"Gsellman, Robert","204","100.0","0.216","0.098","0.244","0.314","0.268","0.304","0.257","11","51","82.5","7.8","1987","91.6","91.58","22","100","104","0.0","6.28","111","152","110","148","297","321","297"
"204",656945,"Scott, Tanner","204","100.0","0.250","0.100","0.360","0.350","0.316","0.342","0.240","10","40","88.9","10.0","2626","93.1","92.88","36","82","122","-0.2","6.14","106","149","118","148","303","324","296"
"203",676477,"Whitlock, Garrett","203","100.0","0.318","0.273","0.324","0.591","0.408","0.382","0.312","14","44","92.0","9.0","2031","90.5","92.02","20","101","102","1.5","7.29","112","156","124","148","284","321","296"
"203",593576,"Neris, Héctor","203","100.0","0.175","0.175","0.200","0.350","0.282","0.264","0.169","7","40","88.3","5.9","1736","88.6","88.29","35","99","104","-0.3","6.17","113","152","118","149","298","322","292"
"203",543507,"May, Trevor","203","100.0","0.277","0.277","0.313","0.553","0.366","0.381","0.291","13","47","87.7","8.6","2308","91.4","92.46","29","112","91","1.1","7.02","112","153","114","149","305","329","301"
"203",672715,"Patiño, Luis","203","100.0","0.268","0.171","0.360","0.439","0.344","0.292","0.211","11","41","90.7","18.8","2434","91.7","92.75","27","87","116","1.0","6.95","103","155","117","147","300","313","289"
"202",661403,"Clase, Emmanuel","202","100.0","0.292","0.000","0.389","0.292","0.312","0.289","0.243","14","48","86.6","-2.5","2571","98.3","98.96","35","95","107","0.7","6.45","112","151","114","149","293","321","290"
"201",594798,"deGrom, Jacob","201","100.0","0.113","0.075","0.172","0.189","0.158","0.189","0.146","6","53","85.1","9.0","2398","97.0","97.93","36","96","105","0.9","6.90","115","153","108","151","296","320","301"
"201",518886,"Kimbrel, Craig","201","100.0","0.200","0.111","0.333","0.311","0.232","0.217","0.179","9","45","88.2","18.8","2426","92.6","92.92","41","95","106","0.3","6.55","111","155","117","148","292","320","300"
"201",659275,"Lamet, Dinelson","201","100.0","0.298","0.191","0.361","0.489","0.360","0.370","0.298","14","47","90.5","12.6","2467","90.2","89.57","29","95","106","-0.6","5.93","116","156","129","144","294","326","308"
"200",458708,"Tomlin, Josh","200","100.0","0.300","0.240","0.306","0.540","0.385","0.366","0.272","15","50","88.8","18.2","2522","83.7","83.00","28","105","95","-0.7","5.71","106","150","123","150","302","324","293"
"200",623352,"Hader, Josh","200","100.0","0.146","0.049","0.250","0.195","0.191","0.229","0.182","6","41","88.0","22.6","2115","91.2","91.56","45","115","85","0.4","6.64","110","155","119","148","307","327","303"
"200",608717,"Stratton, Chris","200","100.0","0.190","0.024","0.250","0.214","0.231","0.249","0.200","8","42","87.0","15.4","2742","87.7","88.36","23","99","101","0.7","6.59","111","152","123","149","304","320","290"
"200",664199,"Clarke, Taylor","200","100.0","0.250","0.083","0.293","0.333","0.268","0.260","0.241","12","48","90.5","16.9","2210","92.2","91.92","22","100","100","-0.3","6.12","109","154","119","150","305","333","304"
"199",642397,"Soto, Gregory","199","100.0","0.237","0.079","0.333","0.316","0.309","0.310","0.229","9","38","88.4","4.5","2413","94.1","94.61","27","84","115","0.5","6.71","106","151","117","148","295","327","302"
"199",622088,"Antone, Tejay","199","100.0","0.133","0.089","0.185","0.222","0.195","0.252","0.184","6","45","87.3","11.8","2884","86.6","86.73","20","79","120","0.1","6.42","110","154","115","149","300","321","290"
"199",607572,"Howard, Sam","199","100.0","0.172","0.172","0.286","0.345","0.338","0.312","0.156","5","29","93.9","19.6","2475","89.3","88.54","31","76","123","-0.8","5.78","109","155","125","148","301","320","291"
"199",650556,"Abreu, Bryan","199","100.0","0.238","0.143","0.290","0.381","0.325","0.342","0.244","10","42","87.5","7.5","2467","91.3","91.01","30","90","109","-0.3","6.25","108","150","111","145","294","328","291"
"197",669330,"Wells, Tyler","197","100.0","0.244","0.178","0.333","0.422","0.321","0.326","0.244","11","45","86.0","17.9","2402","90.5","90.17","28","103","94","-0.3","6.24","108","153","121","149","302","325","298"
"197",642083,"Slegers, Aaron","197","100.0","0.293","0.122","0.355","0.415","0.379","0.362","0.262","12","41","87.6","2.3","1996","89.8","90.71","26","88","105","0.9","6.83","112","154","114","149","302","324","296"
"196",521230,"Hendriks, Liam","196","100.0","0.182","0.045","0.320","0.227","0.188","0.211","0.185","8","44","87.8","11.2","2367","94.6","95.43","47","107","89","0.8","6.75","113","147","113","148","292","310","292"
