"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Miguel Cabrera","DET","62","246","10","27","41","0","9.3%","20.3%",".177",".340",".302",".362",".479",".358","","128","-3.0","5.3","-6.3","0.7","1744"
"Anthony Santander","BAL","57","225","13","35","31","1","6.7%","21.3%",".242",".272",".256",".311",".498",".342","","116","0.5","4.9","-5.3","0.7","14551"
"Jose Iglesias","- - -","62","231","4","30","23","3","4.8%","13.4%",".129",".290",".263",".303",".392",".301","","89","0.0","-3.3","2.6","0.7","10231"
"Trent Grisham","SDP","69","270","6","29","32","4","10.4%","21.5%",".144",".273",".225",".322",".369",".305","","93","0.3","-2.1","0.3","0.7","18564"
"Jed Lowrie","OAK","61","225","9","24","37","0","8.4%","20.0%",".188",".293",".262",".329",".450",".335","","116","-0.7","3.8","-4.3","0.7","4418"
"Elvis Andrus","OAK","65","253","3","32","18","7","4.3%","14.6%",".085",".270",".238",".283",".323",".267","","71","2.8","-6.3","4.8","0.7","8709"
"Alex Verdugo","BOS","67","277","3","39","23","2","10.8%","18.8%",".107",".347",".285",".365",".393",".327","","103","0.3","1.2","-3.6","0.7","17027"
"Jorge Soler","- - -","69","277","17","42","31","0","11.6%","20.6%",".251",".259",".251",".337",".502",".357","","122","-3.8","4.1","-6.6","0.7","14221"
"J.D. Martinez","BOS","66","285","11","36","45","0","9.5%","24.6%",".216",".313",".259",".330",".475",".338","","110","-1.4","2.2","-5.1","0.7","6184"
"Alcides Escobar","WSN","57","260","2","41","18","2","3.8%","14.6%",".101",".312",".269",".322",".370",".304","","87","1.7","-2.6","0.4","0.6","6310"
"Jesus Aguilar","MIA","62","234","10","26","41","0","9.4%","19.2%",".194",".278",".252",".328",".447",".333","","111","-1.6","1.8","-3.2","0.6","11342"
"Michael Brantley","HOU","64","265","4","35","18","1","7.2%","9.1%",".086",".312",".292",".351",".379",".321","","106","-0.5","1.3","-4.0","0.6","4106"
"Kevin Newman","PIT","66","241","3","22","21","1","3.7%","8.3%",".124",".265",".252",".283",".376",".282","","75","2.1","-5.5","3.6","0.6","17696"
"Andrew McCutchen","PHI","63","236","12","34","35","3","13.6%","23.7%",".225",".231",".215",".326",".440",".331","","105","0.5","2.0","-3.8","0.6","9847"
"Jonathan Schoop","DET","71","315","7","44","43","1","3.5%","19.4%",".127",".336",".288",".311",".415",".311","","96","-0.9","-2.4","-2.4","0.6","11265"
"Mike Yastrzemski","SFG","68","258","14","38","32","2","7.0%","26.7%",".214",".229",".209",".275",".423",".296","","86","1.9","-2.6","-0.2","0.6","14854"
"Akil Baddoo","DET","55","230","7","35","29","6","6.5%","23.5%",".177",".312",".256",".304",".433",".316","","99","1.0","0.8","-3.2","0.5","22168"
"Jeff McNeil","NYM","74","268","3","29","25","1","5.6%","16.8%",".090",".293",".249",".310",".339",".288","","84","-0.8","-6.2","2.6","0.5","15362"
"Christian Yelich","MIL","61","250","5","37","27","3","10.4%","24.0%",".132",".325",".255",".336",".386",".314","","94","0.4","-1.4","-1.9","0.5","11477"
"Jazz Chisholm Jr.","MIA","57","226","7","33","21","9","5.8%","27.4%",".167",".298",".234",".281",".402",".293","","86","0.6","-3.5","0.5","0.5","20454"
"Christian Walker","ARI","61","244","5","27","22","0","10.2%","24.6%",".130",".325",".251",".336",".381",".317","","95","0.6","-1.0","-2.8","0.4","13419"
"Ben Gamel","PIT","62","229","6","29","18","1","13.5%","27.1%",".153",".344",".255",".360",".408",".337","","111","-0.9","2.3","-5.7","0.4","12160"
"Yadier Molina","STL","58","231","4","22","30","3","4.8%","13.9%",".087",".280",".252",".294",".339",".279","","76","-2.3","-9.2","4.7","0.3","7007"
"Austin Meadows","TBR","61","250","10","31","49","1","8.4%","16.8%",".189",".240",".234",".300",".423",".308","","99","-1.2","-1.4","-4.6","0.2","15672"
"Charlie Blackmon","COL","67","260","9","39","37","3","6.5%","15.4%",".172",".283",".265",".319",".437",".325","","89","1.0","-2.6","-5.1","0.1","7859"
"Andrew Vaughn","CHW","62","235","9","26","28","1","8.9%","17.0%",".167",".264",".248",".319",".414",".318","","102","-1.9","-1.4","-5.6","0.1","26197"
"Jared Walsh","LAA","55","222","8","18","31","0","7.7%","28.4%",".176",".321",".249",".306",".424",".312","","96","-0.8","-1.8","-5.4","0.0","18607"
"Randal Grichuk","TOR","69","232","9","29","34","0","6.9%","19.4%",".180",".250",".232",".289",".412",".300","","86","-2.0","-6.1","-2.4","-0.1","10243"
"Trey Mancini","BAL","63","266","7","31","14","0","6.8%","25.9%",".160",".321",".250",".312",".410",".310","","94","-2.3","-4.2","-5.5","-0.1","15149"
"Brian Goodwin","CHW","59","224","7","26","23","1","12.1%","19.6%",".149",".262",".231",".326",".379",".311","","97","0.2","-0.6","-8.2","-0.1","12858"
"Pavin Smith","ARI","60","231","5","27","21","0","7.8%","20.3%",".132",".313",".259",".320",".392",".309","","90","-1.1","-4.0","-4.9","-0.1","19892"
"Tommy Pham","SDP","67","252","7","35","19","2","11.9%","24.6%",".151",".252",".206",".306",".358",".290","","83","-0.5","-5.8","-4.3","-0.2","2967"
"Phil Gosselin","LAA","57","222","4","24","28","3","7.2%","22.1%",".089",".311",".251",".311",".340",".288","","81","0.9","-4.3","-5.2","-0.2","10953"
"Hunter Dozier","KCR","71","264","4","27","21","2","8.3%","27.7%",".133",".331",".245",".318",".378",".304","","90","-0.8","-4.2","-6.9","-0.2","15117"
"Joc Pederson","- - -","68","233","5","24","28","2","9.4%","22.7%",".132",".268",".220",".305",".351",".290","","78","-0.5","-7.1","-3.1","-0.2","11899"
"Isiah Kiner-Falefa","TEX","70","301","1","24","20","2","3.7%","11.0%",".053",".272",".243",".286",".296",".258","","61","-0.2","-14.5","1.2","-0.3","16512"
"Carlos Santana","KCR","69","289","8","24","23","0","10.0%","17.0%",".135",".207",".192",".273",".327",".264","","62","-0.5","-13.8","-5.0","-0.9","2396"
"Cody Bellinger","LAD","70","254","8","26","23","1","7.9%","26.4%",".148",".158",".143",".213",".291",".219","","36","1.2","-19.4","0.1","-1.1","15998"
